[2025-04-02 15:49:55] Removed Izdelek - ID: 1, Name: Primer Izdelka, Cena: 19.99
[2025-04-02 15:49:55] Removed Izdelek - ID: 2, Name: Primer Izdelka1, Cena: 19.99
[2025-04-02 15:50:27] Removed Izdelek - ID: 1, Name: Primer Izdelka, Cena: 19.99
[2025-04-02 15:50:27] Removed Izdelek - ID: 2, Name: Primer Izdelka1, Cena: 19.99
[2025-04-02 15:52:09] Removed Izdelek - ID: 1, Name: Primer Izdelka, Cena: 19.99
[2025-04-02 15:52:09] Removed Izdelek - ID: 2, Name: Primer Izdelka1, Cena: 19.99
[2025-04-02 18:01:55] Removed Izdelek - ID: 1, Name: Primer Izdelka, Cena: 19.99
[2025-04-02 18:01:55] Removed Izdelek - ID: 2, Name: Primer Izdelka1, Cena: 19.99
[2025-04-02 18:02:11] Removed Izdelek - ID: 1, Name: Primer Izdelka, Cena: 19.99
[2025-04-02 18:02:12] Removed Izdelek - ID: 2, Name: Primer Izdelka1, Cena: 19.99
[2025-04-02 21:22:14] Removed Izdelek - ID: 1, Name: Primer Izdelka, Cena: 19.99
[2025-04-02 21:22:14] Removed Izdelek - ID: 2, Name: Primer Izdelka1, Cena: 19.99
[2025-04-02 21:23:48] Removed Izdelek - ID: 1, Name: Primer Izdelka, Cena: 19.99
[2025-04-02 21:23:48] Removed Izdelek - ID: 2, Name: Primer Izdelka1, Cena: 19.99
[2025-04-02 21:24:18] Removed Izdelek - ID: 1, Name: Primer Izdelka, Cena: 19.99
[2025-04-02 21:24:18] Removed Izdelek - ID: 2, Name: Primer Izdelka1, Cena: 19.99
[2025-04-02 21:25:51] Removed Izdelek - ID: 1, Name: Primer Izdelka, Cena: 19.99
[2025-04-02 21:25:51] Removed Izdelek - ID: 2, Name: Primer Izdelka1, Cena: 19.99
[2025-04-02 21:26:03] Removed Izdelek - ID: 1, Name: Primer Izdelka, Cena: 19.99
[2025-04-02 21:26:03] Removed Izdelek - ID: 2, Name: Primer Izdelka1, Cena: 19.99
[2025-04-02 21:26:20] Removed Izdelek - ID: 1, Name: Primer Izdelka, Cena: 19.99
[2025-04-02 21:26:20] Removed Izdelek - ID: 2, Name: Primer Izdelka1, Cena: 22.0
[2025-04-02 21:26:40] Removed Izdelek - ID: 1, Name: Primer Izdelka, Cena: 19.99
[2025-04-02 21:26:40] Removed Izdelek - ID: 2, Name: Primer Izdelka1, Cena: 22.0
[2025-04-02 21:28:42] Removed Izdelek - ID: 1, Name: Primer Izdelka, Cena: 19.99
[2025-04-02 21:28:42] Removed Izdelek - ID: 2, Name: Primer Izdelka1, Cena: 22.0
[2025-04-02 21:29:02] Removed Izdelek - ID: 1, Name: Primer Izdelka, Cena: 19.99
[2025-04-02 21:29:02] Removed Izdelek - ID: 2, Name: Primer Izdelka1, Cena: 22.0
[2025-04-02 21:30:09] Removed Izdelek - ID: 1, Name: Primer Izdelka, Cena: 19.99
[2025-04-02 21:30:09] Removed Izdelek - ID: 2, Name: Primer Izdelka1, Cena: 22.0
[2025-04-02 21:30:32] Removed Izdelek - ID: 1, Name: Primer Izdelka, Cena: 19.99
[2025-04-02 21:30:32] Removed Izdelek - ID: 2, Name: Primer Izdelka1, Cena: 22.0
[2025-04-02 21:31:34] Removed Izdelek - ID: 1, Name: Primer Izdelka, Cena: 19.99
[2025-04-02 21:31:34] Removed Izdelek - ID: 2, Name: Primer Izdelka1, Cena: 22.0
[2025-04-02 21:31:52] Removed Izdelek - ID: 1, Name: Primer Izdelka, Cena: 19.99
[2025-04-02 21:31:52] Removed Izdelek - ID: 2, Name: Primer Izdelka1, Cena: 22.0
